library_entry_id,practice_identity,Venue,PM_location_id,Venue Location,Area,AreaOrder,Group,Position,Bank,Game,Variant,Manufacturer,Year,pinside_id,pinside_slug,pinside_group,Playfield Image,Rulesheet,Tutorial 1,Tutorial 2,Tutorial 3,Tutorial 4,Gameplay 1,Gameplay 2,Gameplay 3,Gameplay 4,Competition 1,Competition 2,Competition 3,Competition 4
v--8760--2905,stern--avengers-infinity-quest--2020,The Avenue Cafe,8760,"Lansing, MI",U,1,1,1,4,Avengers: Infinity Quest,Premium,Stern,2020,2905,avengers-infinity-quest-premium,Avengers: Infinity Quest,https://sternpinball.com/wp-content/uploads/2020/08/Avengers-LE-Playfield-lknawef.jpg,https://tiltforums.com/t/avengers-infinity-quest-rulesheet/6740,https://www.youtube.com/watch?v=2_xcLBHzaSo,,,,https://www.youtube.com/watch?v=mHw2DOdeHx8,,,,,,,
v--8760--2186,stern--metallica--2013,The Avenue Cafe,8760,"Lansing, MI",U,1,1,2,6,Metallica,Pro,Stern,2013,2186,metallica,Metallica,https://o.pinside.com/0/d6/40/0d640d48344cfa61e36c945d5c273959cf36aed8.jpeg,https://tiltforums.com/t/metallica-rulesheet/228,https://www.youtube.com/watch?v=O26SH3gNVnY,,,,,,,,,,,
v--8760--2685,stern--iron-maiden-legacy-of-the-beast--2018,The Avenue Cafe,8760,"Lansing, MI",U,1,1,3,,Iron Maiden,Pro,Stern,2018,2685,iron-maiden-legacy-of-the-beast,Iron Maiden: Legacy of the Beast,https://sternpinball.com/wp-content/uploads/2018/10/IM-LE-Playfield-01b.png,https://tiltforums.com/t/iron-maiden-pinball-rulesheet/3787,https://www.youtube.com/watch?v=zaCEffQkj4o,,,,,,,,,,,
v--8760--3091,stern--star-trek--2013,The Avenue Cafe,8760,"Lansing, MI",U,1,1,4,1,Star Trek,Enterprise LE,Stern,2013,3091,star-trek-stern-le,Star Trek,https://sternpinball.com/wp-content/uploads/2018/10/PREM-PF.jpg,https://tiltforums.com/t/star-trek-wiki/456,https://www.youtube.com/watch?v=wYZuLK6ShUk,,,,https://www.youtube.com/watch?v=kkJn4ypmq3M,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v--8760--3248,stern--uncanny-x-men--2024,The Avenue Cafe,8760,"Lansing, MI",U,1,2,1,3,The Uncanny X-Men,LE,Stern,2024,3248,uncanny-x-men-le,Uncanny X-Men,https://sternpinball.com/wp-content/uploads/2024/09/LEXTop-3kjafh89hf.jpg,https://tiltforums.com/t/the-uncanny-x-men-rulesheet/9100,,,,,,,,,,,,
v--8760--2476,stern--star-wars--2017,The Avenue Cafe,8760,"Lansing, MI",U,1,2,2,5,Star Wars,Pro,Stern,2017,2476,star-wars-stern,Star Wars,https://sternpinball.com/wp-content/uploads/2018/10/StarWarsLE-Playfield.png,https://tiltforums.com/t/star-wars-stern-rulesheet/2812,https://www.youtube.com/watch?v=2jjRkzCEVto,,,,,,,,,,,
v--8760--1143,stern--simpsons-pinball-party--2003,The Avenue Cafe,8760,"Lansing, MI",U,1,2,3,7,The Simpsons Pinball Party,,Stern,2003,1143,simpsons-pinball-party,~,https://o.pinside.com/f/17/19/f17197f2468dbd54b299f41969cc4d876565c109.jpeg,https://www.pinball.org/rules/simpsonspinballparty.txt,https://www.youtube.com/watch?v=4ARXdYALc9o,,,,https://www.youtube.com/watch?v=JU4lpB-VGEQ,,,,,,,
v--8760--2957,stern--the-mandalorian--2021,The Avenue Cafe,8760,"Lansing, MI",U,1,2,4,2,The Mandalorian,Premium,Stern,2021,2957,stern-the-mandalorian-premium,The Mandalorian,https://sternpinball.com/wp-content/uploads/2021/05/Mandalorian-LE-Playfield-01-afnkjkn3fad.jpg,https://tiltforums.com/t/the-mandalorian-rulesheet/7056,,,,,https://www.youtube.com/watch?v=Ew_P40Fq4EA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v--8760--207,williams--getaway-high-speed-ii--1992,The Avenue Cafe,8760,"Lansing, MI",U,1,3,1,4,The Getaway: High Speed II,,Williams,1992,207,getaway-high-speed-ii,~,https://o.pinside.com/6/4b/68/64b682d2839fa8b161984c0c5aee9f32831640dd.jpg,https://www.pinball.org/rules/getaway.html,,,,,https://www.youtube.com/watch?v=Dhk6rcqi128,,,,,,,
v--8760--972,williams--monster-bash--1998,The Avenue Cafe,8760,"Lansing, MI",U,1,3,2,6,Monster Bash,,Williams,1998,972,monster-bash,Monster Bash,https://o.pinside.com/f/3d/11/f3d112c32278e7dd32ae24673374ba3325906513.jpeg,https://pinball.org/rules/monsterbash.txt,https://www.youtube.com/watch?v=5mFFmopZ5Y8,,,,https://www.youtube.com/watch?v=gVE919IMPNc,,,,,,,
v--8760--252,williams--indiana-jones--1993,The Avenue Cafe,8760,"Lansing, MI",U,1,3,3,8,Indiana Jones: The Pinball Adventure,,Williams,1993,252,indiana-jones,~,https://o.pinside.com/a/ba/d3/abad3588aa6bbbeb655e870adce3c785b072cdb1.jpeg,https://www.ipdb.org/rulesheets/1267/indiana.htm,https://www.youtube.com/watch?v=u2G0A-BIpAY,,,,,,,,,,,
v--8760--976,bally--cactus-canyon--1998,The Avenue Cafe,8760,"Lansing, MI",U,1,3,4,1,Cactus Canyon,Lyman Upgrade,Bally,1998,976,cactus-canyon,Cactus Canyon,https://o.pinside.com/2/3d/21/23d219b17c275ab7e997c05b4c9de0ca621a40f9.jpeg,https://gamefaqs.gamespot.com/pinball/915657-cactus-canyon/faqs/40815?raw=1,,,,,https://www.youtube.com/watch?v=j-x03RBvTs4,,,,,,,
v--8760--816,williams--tales-of-the-arabian-nights--1996,The Avenue Cafe,8760,"Lansing, MI",U,1,3,5,3,Tales of the Arabian Nights,,Williams,1996,816,tales-of-the-arabian-nights,~,https://o.pinside.com/7/91/cf/791cf5d4f708e88307574989d06d4c6d7f470d45.jpg,https://pinball.org/rules/talesofthearabiannights.html,,,,,https://www.youtube.com/watch?v=tY2pFjj1Phg,,,,,,,
v--8760--213,bally--addams-family-the--1992,The Avenue Cafe,8760,"Lansing, MI",U,1,3,6,5,The Addams Family,,Bally,1992,213,addams-family,"Addams Family, The",https://o.pinside.com/2/b3/34/2b334721aa24cf45100e0874684ca1ac32b6066e.jpeg,https://www.pinball.org/rules/addamsfamily.html,https://www.youtube.com/watch?v=XSw7fK6x1mw,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v--8760--3008,stern--rush--2022,The Avenue Cafe,8760,"Lansing, MI",U,1,4,1,7,Rush,LE,Stern,2022,3008,stern-rush-le,Rush,https://sternpinball.com/wp-content/uploads/2022/01/Rush-LE-Playfield-gadf.jpg,https://tiltforums.com/t/stern-rush-rulesheet/7409,https://www.youtube.com/watch?v=ZphTCC_rN0s,https://www.youtube.com/watch?v=CVSaXrbxtHM,https://www.youtube.com/watch?v=h139DUjCeU0,,https://www.youtube.com/watch?v=l68I6GMrIN4,,,,,,,
v--8760--3101,stern--foo-fighters--2023,The Avenue Cafe,8760,"Lansing, MI",U,1,4,2,2,Foo Fighters,LE,Stern,2023,3101,foo-fighters-le,Foo Fighters,https://sternpinball.com/wp-content/uploads/2023/02/FooFighters-LE-Playfield-akjh3f.jpg,https://tiltforums.com/t/foo-fighters-rulesheet/8162,https://www.youtube.com/watch?v=JfcJZYAnq6M,,,,https://www.youtube.com/watch?v=ZqIcJG8PA-c,,,,,,,
v--8760--2144,stern--ac-dc--2012,The Avenue Cafe,8760,"Lansing, MI",U,1,4,3,4,AC/DC,Premium Vault Edition,Stern,2012,2144,ac-dc-premium,AC/DC,https://sternpinball.com/wp-content/uploads/2018/10/ACDC-Premium-no-Drummer-LUCI-PF-012518.jpg,http://bit.ly/acdcrulesheet,https://www.youtube.com/watch?v=ci7gXjSLq9o,,,,https://www.youtube.com/watch?v=bavgiSj5DJU,,,,,,,
v--8760--3103,stern--kiss--2015,The Avenue Cafe,8760,"Lansing, MI",U,1,4,4,6,Kiss,LE,Stern,2015,3103,kiss-stern-le,KISS,https://o.pinside.com/e/8d/1e/e8d1e693e8bf1644b84cf301a83ef8809dc42dc5.jpeg,https://tiltforums.com/t/kiss-wiki-rulesheet/732,https://www.youtube.com/watch?v=W-VZAdtlo80,,,,,,,,,,,
v--8760--2987,stern--godzilla--2021,The Avenue Cafe,8760,"Lansing, MI",U,1,4,5,8,Godzilla,Premium,Stern,2021,2987,godzilla-premium,Godzilla,https://sternpinball.com/wp-content/uploads/2021/09/Godzilla-LE-Playfield-afasdf.jpg,https://tiltforums.com/t/stern-godzilla-rulesheet/7210,https://www.youtube.com/watch?v=roJbHZe4YfQ,,,,https://www.youtube.com/watch?v=qxv1rdFisR8,https://www.youtube.com/watch?v=9rLcMSuommU,,,,,,
v--8760--2701,stern--deadpool--2018,The Avenue Cafe,8760,"Lansing, MI",U,1,4,6,1,Deadpool,Pro,Stern,2018,2701,deadpool-pro,Deadpool,https://sternpinball.com/wp-content/uploads/2018/09/DP-LE-Playfield-01a.png,https://tiltforums.com/t/deadpool-rulesheet/4311,https://www.youtube.com/watch?v=7ZMPyTqiot4,,,,,,,,,,,
v--8760--2744,stern--munsters--2019,The Avenue Cafe,8760,"Lansing, MI",U,1,4,7,3,The Munsters,Pro,Stern,2019,2744,munsters,Munsters,https://sternpinball.com/wp-content/uploads/2019/01/Munsters-Pro-Playfield.jpg,https://tiltforums.com/t/the-munsters-rulesheet/4781,https://www.youtube.com/watch?v=HfjKUJD8hS4,,,,,,,,https://www.youtube.com/watch?v=olqLboBqtZI&t=6410s,,,
v--8760--3112,cgc--pulp-fiction--2024,The Avenue Cafe,8760,"Lansing, MI",U,1,4,8,5,Pulp Fiction,LE,CGC,2024,3112,cgc-pulp-fiction-le,Pulp Fiction,https://o.pinside.com/0/7e/9c/07e9cdea6118a2510e706c58058c11c9252b4c22.jpeg,https://tiltforums.com/t/pulp-fiction-rulesheet/8471,,,,,https://www.youtube.com/watch?v=iY--DPVTWWM,https://www.youtube.com/watch?v=XQSm-MeiSMg,,,,,,
v--8760--2145,stern--tron-legacy--2011,The Avenue Cafe,8760,"Lansing, MI",U,1,4,9,7,Tron: Legacy,LE,Stern,2011,2145,tron-le,TRON: Legacy,https://o.pinside.com/5/6a/75/56a75c9be016d166a14066947458f2c7570b7526.jpg,https://www.pinballnews.com/games/tron/index6b.html,https://www.youtube.com/watch?v=8u1bVbwYy0U,,,,https://www.youtube.com/watch?v=ZvIeDk0y3WM,,,,,,,
v--8760--2895,stern--teenage-mutant-ninja-turtles--2020,The Avenue Cafe,8760,"Lansing, MI",U,1,4,10,2,Teenage Mutant Ninja Turtles,LE,Stern,2020,2895,teenage-mutant-ninja-turtles-stern-limited,Teenage Mutant Ninja Turtles,https://sternpinball.com/wp-content/uploads/2020/05/TMNT-LE-Playfield_New_Decal-4tnasdfad.jpg,https://tiltforums.com/t/stern-tmnt-rulesheet/6599,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
