library_entry_id,practice_identity,opdb_id,Venue,PM_location_id,Venue Location,Area,AreaOrder,Group,Position,Bank,Game,Variant,Manufacturer,Year,Playfield Image,Rulesheet,Tutorial 1,Tutorial 2,Tutorial 3,Tutorial 4,Gameplay 1,Gameplay 2,Gameplay 3,Gameplay 4,Competition 1,Competition 2,Competition 3,Competition 4
v--14554--GRL9r,GRL9r,GRL9r-MD34z,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,1,,Star Wars Episode 1,,Williams,1999,,,,,,,,,,,,,,
v--14554--G5oBw,G5oBw,G5oBw-ML3Kw,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,2,,The Party Zone,,Bally,1991,,,,,,,,,,,,,,
v--14554--GRw0r,GRw0r,GRw0r-Mp42p,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,3,,Earthshaker,,Williams,1989,,,,,,,,,,,,,,
v--14554--GRLlj,GRLlj,GRLlj-MQZN8,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,4,,Junk Yard,,Williams,1996,,,,,,,,,,,,,,
v--14554--GrNkY,GrNkY,GrNkY-MDbn2,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,5,,Devil's Dare,,Gottlieb,1982,,,,,,,,,,,,,,
v--14554--G5zd6,G5zd6,G5zd6-MJVo4,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,6,,Gorgar,,Williams,1979,,,,,,,,,,,,,,
v--14554--G5pe4,G5pe4,G5pe4-MrR1B,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,7,,Medieval Madness,Remake Special Edition,Chicago Gaming,2016,https://o.pinside.com/6/3f/ea/63fea245ad8041e4db2684fb1f5f9c5caa5a7890.jpeg,https://www.pinball.org/rules/medievalmadness.html,https://www.youtube.com/watch?v=6wb_x3q3z14,,,,https://www.youtube.com/watch?v=21qTR0o5Lmc,,,,,,,
v--14554--GrX09,GrX09,GrX09-M85bb,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,8,,Hurricane,,Williams,1991,,,,,,,,,,,,,,
v--14554--GrE7e,GrE7e,GrE7e-MQ9N1,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,9,,Whirlwind,,Williams,1990,,,,,,,,,,,,,,
v--14554--G5we0,G5we0,G5we0-MDx6b,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,10,,Starship Troopers,,Sega,1997,,,,,,,,,,,,,,
v--14554--G4dOQ,G4dOQ,G4dOQ-MyNbb,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,11,,Iron Maiden: Legacy of the Beast,Pro,Stern,2018,https://sternpinball.com/wp-content/uploads/2018/10/IM-LE-Playfield-01b.png,,,,,,,,,,,,,
v--14554--GK1Ej,GK1Ej,GK1Ej-MwNZr,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,12,,Dungeons & Dragons: The Tyrant's Eye,Pro,Stern,2025,https://sternpinball.com/wp-content/uploads/2025/01/DungeonLETopPlayfield-adfkjehfa3.jpg,https://tiltforums.com/t/dungeons-dragons-the-tyrants-eye-rulesheet/9267,,,,,https://www.youtube.com/watch?v=eLmtVP2-xyc,,,,,,,
v--14554--G7ZEz,G7ZEz,G7ZEz-MBRYn,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,13,,The Uncanny X-Men,Pro,Stern,2024,https://sternpinball.com/wp-content/uploads/2024/09/LEXTop-3kjafh89hf.jpg,https://tiltforums.com/t/the-uncanny-x-men-rulesheet/9100,,,,,,,,,,,,
v--14554--Gr3EW,Gr3EW,Gr3EW-MXryE,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,14,,Monster Bash,Remake Special,Chicago Gaming,2018,https://o.pinside.com/f/3d/11/f3d112c32278e7dd32ae24673374ba3325906513.jpeg,https://pinball.org/rules/monsterbash.txt,https://www.youtube.com/watch?v=5mFFmopZ5Y8,,,,https://www.youtube.com/watch?v=gVE919IMPNc,,,,,,,
v--14554--G4jQw,G4jQw,G4jQw-MJ5rl,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,15,,Big Game,,Stern Electronics,1980,,,,,,,,,,,,,,
v--14554--G4O2b,G4O2b,G4O2b-MJpn4,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,16,,Cyclone,,Williams,1988,,,,,,,,,,,,,,
v--14554--Grxvy,Grxvy,Grxvy-M4oZj,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,17,,Baywatch,,Sega,1995,,,,,,,,,,,,,,
v--14554--G4XPZ,G4XPZ,G4XPZ-M7Zob,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,18,,Grand Lizard,,Williams,1986,,,,,,,,,,,,,,
v--14554--GllPz,GllPz,GllPz-MBRrV,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,19,,Scooby-Doo,CE,Spooky,2023,,,,,,,,,,,,,,
v--14554--GpeoL,GpeoL,GpeoL-MyNPq,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,20,,Foo Fighters,Pro,Stern,2023,https://sternpinball.com/wp-content/uploads/2023/02/FooFighters-LE-Playfield-akjh3f.jpg,https://tiltforums.com/t/foo-fighters-rulesheet/8162,https://www.youtube.com/watch?v=JfcJZYAnq6M,,,,https://www.youtube.com/watch?v=ZqIcJG8PA-c,,,,,,,
v--14554--G0l8P,G0l8P,G0l8P-M85d9,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,21,,Beatles,Gold,Stern,2018,,,,,,,,,,,,,,
v--14554--G4qk7,G4qk7,G4qk7-MNEjx,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,22,,Embryon,,Bally,1981,,,,,,,,,,,,,,
v--14554--GqZZ1,GqZZ1,GqZZ1-M85y9,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,23,,Guns N' Roses,LE,Jersey Jack,2020,,,,,,,,,,,,,,
v--14554--GO0q3,GO0q3,GO0q3-MOEy8,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,24,,Metallica Remastered,Premium,Stern,2024,https://sternpinball.com/wp-content/uploads/2024/10/MetalliPlayfLEFinal-kjahefae.jpg,https://tiltforums.com/t/metallica-remastered-rulesheet/9298,,,,,,,,,,,,
v--14554--G5YWX,G5YWX,G5YWX-MQ4VW,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,25,,NASCAR,,Stern,2005,,,,,,,,,,,,,,
v--14554--G486B,G486B,G486B-MrRwE,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,26,,Vector,,Bally,1981,,,,,,,,,,,,,,
v--14554--Grq1D,Grq1D,Grq1D-MQokp,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,27,,Phantom of the Opera,,Data East,1990,,,,,,,,,,,,,,
v--14554--GvBn8,GvBn8,GvBn8-Mz291,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,28,,Jim Henson’s Labyrinth,,Barrels of Fun,2023,https://sternpinball.com/wp-content/uploads/2023/07/Venom-LE-Playfield-akjnef.jpg,,,,,,,,,,,,,
v--14554--GRvzd,GRvzd,GRvzd-MLxV8,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,29,,High Speed,,Williams,1986,,,,,,,,,,,,,,
v--14554--GrO7w,GrO7w,GrO7w-M9R03,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,30,,Black Knight,,Williams,1980,,,,,,,,,,,,,,
v--14554--GRpee,GRpee,GRpee-MePdR,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,31,,The Machine: Bride of Pin-Bot,,Williams,1991,,,,,,,,,,,,,,
v--14554--G4qvL,G4qvL,G4qvL-MJwVr,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,32,,Close Encounters of the Third Kind,,Gottlieb,1978,,,,,,,,,,,,,,
v--14554--GRDqo,GRDqo,GRDqo-MDbPx,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,33,,Solar Ride,,Gottlieb,1979,,,,,,,,,,,,,,
v--14554--G4xlK,G4xlK,G4xlK-Mo163,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,34,,Sky Jump,,Gottlieb,1974,,,,,,,,,,,,,,
v--14554--GrEke,GrEke,GrEke-ML8qN,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,35,,The Six Million Dollar Man,,Bally,1978,,,,,,,,,,,,,,
v--14554--G4JbV,G4JbV,G4JbV-M5Rqn,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,36,,Torch,,Gottlieb,1980,,,,,,,,,,,,,,
v--14554--G5b38,G5b38,G5b38-MDqkx,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,37,,Meteor,,Stern Electronics,1979,,,,,,,,,,,,,,
v--14554--Gryd3,Gryd3,Gryd3-MLqjd,Crazy Quarters Arcade,14554,"Bay City, MI",,,1,38,,Comet,,Williams,1985,,,,,,,,,,,,,,
