Season,BankNumber,Bank,Player,Machine,RawScore,Points,EventDate
Season 14,1,Week1,Biff Tate,The Simpsons Pinball Party,3321850.0,92.0,2021-08-24
Season 14,1,Week1,Biff Tate,Deadpool,136069790.0,96.0,2021-08-24
Season 14,1,Week1,Biff Tate,Theatre of Magic,687063390.0,99.0,2021-08-24
Season 14,1,Week1,Biff Tate,Batman '66,160000090.0,96.0,2021-08-24
Season 14,1,Week1,Biff Tate,Kiss,42294730.0,95.0,2021-08-24
Season 14,1,Week1,Bryan Johnson,The Simpsons Pinball Party,1495810.0,86.0,2021-08-24
Season 14,1,Week1,Bryan Johnson,Deadpool,35215750.0,89.0,2021-08-24
Season 14,1,Week1,Bryan Johnson,Theatre of Magic,130900220.0,88.0,2021-08-24
Season 14,1,Week1,Bryan Johnson,Batman '66,14179050.0,86.0,2021-08-24
Season 14,1,Week1,Bryan Johnson,Kiss,25854580.0,93.0,2021-08-24
Season 14,1,Week1,Chris Tabaka,The Simpsons Pinball Party,,,2021-08-24
Season 14,1,Week1,Chris Tabaka,Deadpool,,,2021-08-24
Season 14,1,Week1,Chris Tabaka,Theatre of Magic,,,2021-08-24
Season 14,1,Week1,Chris Tabaka,Batman '66,,,2021-08-24
Season 14,1,Week1,Chris Tabaka,Kiss,,,2021-08-24
Season 14,1,Week1,Dan Nelson,The Simpsons Pinball Party,,,2021-08-24
Season 14,1,Week1,Dan Nelson,Deadpool,,,2021-08-24
Season 14,1,Week1,Dan Nelson,Theatre of Magic,,,2021-08-24
Season 14,1,Week1,Dan Nelson,Batman '66,,,2021-08-24
Season 14,1,Week1,Dan Nelson,Kiss,,,2021-08-24
Season 14,1,Week1,Danny Clark,The Simpsons Pinball Party,12739220.0,98.0,2021-08-24
Season 14,1,Week1,Danny Clark,Deadpool,349935850.0,99.0,2021-08-24
Season 14,1,Week1,Danny Clark,Theatre of Magic,1042809890.0,100.0,2021-08-24
Season 14,1,Week1,Danny Clark,Batman '66,143827060.0,95.0,2021-08-24
Season 14,1,Week1,Danny Clark,Kiss,7744860.0,87.0,2021-08-24
Season 14,1,Week1,Derik Schimberg,The Simpsons Pinball Party,11560990.0,95.0,2021-08-24
