game,second_highest_avg,fourth_highest_avg,eighth_highest_avg
Avengers: Infinity Quest,173438323,88524766,39851803
Kiss,198506351,97959214,36089540
Cactus Canyon,47757329,27567623,14452827
Uncanny X-Men,225283763,108327713,63821317
Jurassic Park (Stern 2019),319640285,126326601,58637502
Tales of the Arabian Nights,15762751,9345267,5556107
The Munsters,82533584,34629771,17369006
Medieval Madness,46553686,29361166,14409182
AC/DC,78885896,46469006,19681744
Star Wars (2017),1096631040,647340570,319976625
James Bond,358874928,200180907,82457332
Indiana Jones,291687662,177986136,81470450
Metallica,77377060,43847284,17158523
Godzilla,646887088,286268525,123536572
Dungeons and Dragons,418422050,182415065,123730030
Game of Thrones,949759118,326708555,99242412
The Simpsons Pinball Party,21891586,14562712,6092065
The Getaway,101330386,59599913,31934372
Monster Bash,140207751,77290194,33846092
Venom,305244276,125417334,53133636
King Kong,446519150,105609360,76835450
Rush,339038483,95538978,50832140
Deadpool,358162103,146074855,69866975
John Wick,177005389,142548085,60787832
Attack From Mars,5521789989,3115115261,1766530554
Foo Fighters,437507022,118516715,52503338
The Mandalorian,246663781,139131898,54050835
Tron,32748236,20993568,12428468
TMNT,20008656,13337749,7479849
Ghostbusters,721735856,238692633,85037818
Stranger Things,269360318,180571244,110080667
Star Trek,115837761,68886970,27550663
Pulp Fiction,2137055,1124280,708345
Elvira's House of Horrors,68770087,38590427,18216957
Black Knight: Sword of Rage,160663925,62325610,40949470
The Addams Family,126854859,77135279,38020435
Scared Stiff,18537846,13171488,6029324
Fall of the Empire,548469290,308139210,40719400
Jaws,523921050,325577015,155754968
