library_entry_id,practice_identity,opdb_id,Venue,PM_location_id,Venue Location,Area,AreaOrder,Group,Position,Bank,Game,Variant,Manufacturer,Year,Playfield Image,Rulesheet,Tutorial 1,Tutorial 2,Tutorial 3,Tutorial 4,Gameplay 1,Gameplay 2,Gameplay 3,Gameplay 4,Competition 1,Competition 2,Competition 3,Competition 4
v--16470--GWyBj,GWyBj,GWyBj-MdEbK,RLM Amusements,16470,"Grand Rapids, MI",,,1,1,,Harry Potter: Arcade Edition,Arcade Edition,JJP,2025,https://jerseyjackpinball.com/cdn/shop/files/Harry_CE_playfield_100.webp,https://tiltforums.com/t/harry-potter-rulesheet/9639,https://www.youtube.com/watch?v=3i_7L48Vx8k,,,,https://www.youtube.com/watch?v=qpG3J9IzzWs,,,,,,,
v--16470--GEL0V,GEL0V,GEL0V-MyN8E,RLM Amusements,16470,"Grand Rapids, MI",,,1,2,,King Kong,Premium,Stern,2025,https://sternpinball.com/wp-content/uploads/2025/04/LETopPlayfield.jpg,https://tiltforums.com/t/king-kong-myth-of-terror-island-rulesheet/9514,https://www.youtube.com/watch?v=OCp5Ria5IIA,,,,https://www.youtube.com/watch?v=Esw-G7rUTw8,,,,,,,
v--16470--Gxv81,Gxv81,Gxv81-M610r,RLM Amusements,16470,"Grand Rapids, MI",,,1,3,,Star Wars: Fall of the Empire,Pro,Stern,2025,https://sternpinball.com/wp-content/uploads/2025/09/EmpireLETopx.jpg,https://tiltforums.com/t/star-wars-fall-of-the-empire-rulesheet/9872,,,,,,,,,,,,
v--16470--Gd266,Gd266,Gd266-ME0l7,RLM Amusements,16470,"Grand Rapids, MI",,,1,4,,Dune,,BoF,2025,https://static.wixstatic.com/media/2f5381_04e1591eec9847d0832a576341b878f6~mv2.jpg,https://tiltforums.com/t/dune-rulesheet/9850,https://www.youtube.com/watch?v=A6NcxN7D-JI,,,,https://www.youtube.com/watch?v=CjG_VywpCKU,,,,,,,
v--16470--GLWll,GLWll,GLWll-M1r8O,RLM Amusements,16470,"Grand Rapids, MI",,,1,5,,Jaws,Premium,Stern,2024,https://sternpinball.com/wp-content/uploads/2024/01/Jaws-LE-Playfield-adfkj3r.jpg,https://tiltforums.com/t/jaws-rulesheet/8781,https://www.youtube.com/watch?v=zIWTjveC9p4,,,,https://www.youtube.com/watch?v=7fVazJdhf_8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v--16470--G6lnq,G6lnq,G6lnq-MRj7Z,RLM Amusements,16470,"Grand Rapids, MI",,,2,1,,Deadpool,Premium,Stern,2018,https://sternpinball.com/wp-content/uploads/2018/09/DP-LE-Playfield-01a.png,https://tiltforums.com/t/deadpool-rulesheet/4311,https://www.youtube.com/watch?v=7ZMPyTqiot4,,,,,,,,,,,
v--16470--GRVoX,GRVoX,GRVoX-MLE7l,RLM Amusements,16470,"Grand Rapids, MI",,,2,2,,Fast Draw,,Gottlieb,1975,https://o.pinside.com/c/84/78/c847882714e37e7150e43a6f2e29027030fcafd9.jpg,https://rules.silverballmania.com/rules/GRVoX-MLE7l,,,,,,,,,,,,
v--16470--GYWvw,GYWvw,GYWvw-MKNP4,RLM Amusements,16470,"Grand Rapids, MI",,,2,3,,Evil Dead,CE,Spooky,2024,https://www.spookypinball.com/wp-content/uploads/2024/11/Spooky-Evil-Dead-Playfield.png,https://tiltforums.com/t/evil-dead-by-spooky-pinball-rulesheet/9720,,,,,,,,,,,,
v--16470--G4PBO,G4PBO,G4PBO-MyNeb,RLM Amusements,16470,"Grand Rapids, MI",,,2,4,,Alien: Ellen Ripley Edition,Ellen Ripley,PB,2022,https://o.pinside.com/1/13/91/11391f5e555c44d51d57e53b80cdb54ef6747435.jpeg,https://tiltforums.com/t/pinball-brothers-alien-rulesheet/7966,,,,,,,,,,,,
v--16470--GR6wO,GR6wO,GR6wO-MDvzk,RLM Amusements,16470,"Grand Rapids, MI",,,2,5,,Tales from the Crypt,,DE,1993,https://o.pinside.com/0/7e/de/07ede2316a85b78651102912d42f91c0863a6043.jpeg,https://www.ipdb.org/rulesheets/2493/crypt.htm,,,,,https://youtu.be/brK2WDNlYpk?si=aVbG5j6Mdi40d9ds,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v--16470--G5Kvx,G5Kvx,G5Kvx-MQdpl,RLM Amusements,16470,"Grand Rapids, MI",,,3,1,,Baby Pac-Man,,Midway,1982,https://o.pinside.com/a/e2/d5/ae2d55c13d08c63a9e13b4431d5f747740ba4536.jpeg,https://strategywiki.org/wiki/Baby_Pac-Man/Walkthrough,https://www.youtube.com/watch?v=U216cklf0jk,,,,,,,,,,,
v--16470--GrP6q,GrP6q,GrP6q-M5Rp1,RLM Amusements,16470,"Grand Rapids, MI",,,3,2,,Nitro Ground Shaker,,Bally,1980,https://o.pinside.com/7/82/28/782286aa112e543b8416be1bf1a94b7b73fbbaf0.jpg,https://rules.silverballmania.com/rules/GrP6q-M5Rp1,,,,,https://www.youtube.com/watch?v=LwWGCXC48-g,,,,,,,
v--16470--GO0q3,GO0q3,GO0q3-MOEy8,RLM Amusements,16470,"Grand Rapids, MI",,,3,3,,Metallica Remastered,Premium,Stern,2024,https://sternpinball.com/wp-content/uploads/2024/10/MetalliPlayfLEFinal-kjahefae.jpg,https://tiltforums.com/t/metallica-remastered-rulesheet/9298,,,,,,,,,,,,
v--16470--Gr8l3,Gr8l3,Gr8l3-MDWr0,RLM Amusements,16470,"Grand Rapids, MI",,,3,4,,Indianapolis 500,,Bally,1995,https://o.pinside.com/e/fb/e4/efbe43af5567c672de54c72192a19430497ce7c5.jpeg,https://www.ipdb.org/rulesheets/2853/indy500.htm,https://www.youtube.com/watch?v=0JJ58ZBaBxo,,,,,,,,,,,
v--16470--GoEkx,GoEkx,GoEkx-MdEzN,RLM Amusements,16470,"Grand Rapids, MI",,,3,5,,Pulp Fiction,SE,CGC,2024,https://o.pinside.com/0/7e/9c/07e9cdea6118a2510e706c58058c11c9252b4c22.jpeg,https://tiltforums.com/t/pulp-fiction-rulesheet/8471,,,,,https://www.youtube.com/watch?v=iY--DPVTWWM,https://www.youtube.com/watch?v=XQSm-MeiSMg,,,,,,
v--16470--G4yen,G4yen,G4yen-MD12Y,RLM Amusements,16470,"Grand Rapids, MI",,,3,6,,Alien Poker,,Williams,1980,https://o.pinside.com/a/03/e4/a03e4d88ad5527ec10bd96e43a7484727e2c8b92.jpg,https://rules.silverballmania.com/rules/G4yen-MD12Y,https://www.youtube.com/watch?v=yGWOfPq_0u4,,,,,,,,,,,
v--16470--GRD79,GRD79,GRD79-M0odk,RLM Amusements,16470,"Grand Rapids, MI",,,3,7,,Total Nuclear Annihilation,,Spooky,2017,https://o.pinside.com/0/61/43/06143560c26dad7e3540ffe50af56c90259829b5.jpg,https://tiltforums.com/t/total-nuclear-annihilation-rulesheet/3209,https://www.youtube.com/watch?v=TzhluZ-6e_c,,,,,,,,,,,
v--16470--Grx8Y,Grx8Y,Grx8Y-MKNe9,RLM Amusements,16470,"Grand Rapids, MI",,,3,8,,The Getaway: High Speed II,,Williams,1992,https://o.pinside.com/6/4b/68/64b682d2839fa8b161984c0c5aee9f32831640dd.jpg,https://www.ipdb.org/rulesheets/1000/getaway.htm,,,,,https://www.youtube.com/watch?v=Dhk6rcqi128,,,,,,,
v--16470--GQKyP,GQKyP,GQKyP-Mx0O4,RLM Amusements,16470,"Grand Rapids, MI",,,3,9,,James Bond 007,Pro,Stern,2022,https://sternpinball.com/wp-content/uploads/2022/09/JamesBond-LE-Playfield-knadf.jpg,https://tiltforums.com/t/james-bond-007-rulesheet/7893,https://www.youtube.com/watch?v=GnQr9qIZz_0,,,,https://www.youtube.com/watch?v=FbSbZDtegVk,,,,,,,
v--16470--G7ZEz,G7ZEz,G7ZEz-MBRYn,RLM Amusements,16470,"Grand Rapids, MI",,,3,10,,The Uncanny X-Men,Pro,Stern,2024,https://sternpinball.com/wp-content/uploads/2024/09/LEXTop-3kjafh89hf.jpg,https://tiltforums.com/t/the-uncanny-x-men-rulesheet/9100,,,,,,,,,,,,
v--16470--GrXy3,GrXy3,GrXy3-ML0Ey,RLM Amusements,16470,"Grand Rapids, MI",,,3,11,,Paragon,,Bally,1979,https://o.pinside.com/8/d3/0e/8d30e91fa2664ac28ef48f87feeed51d71c91e5b.jpg,https://pinballprimer.github.io/paragon_GrXy3.html,https://www.youtube.com/watch?v=S75vg7Wtf7w,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v--16470--GRKx7,GRKx7,GRKx7-MJ49e,RLM Amusements,16470,"Grand Rapids, MI",,,4,1,,Buck Rogers,,Gottlieb,1980,https://o.pinside.com/7/cf/11/7cf116170b0e4015323c3c653d51f7ce7c02f1a8.jpg,https://rules.silverballmania.com/rules/GRKx7-MJ49e,,,,,https://www.youtube.com/watch?v=lePevjDCOVE,,,,,,,
v--16470--G5YDN,G5YDN,G5YDN-MJKYo,RLM Amusements,16470,"Grand Rapids, MI",,,4,2,,Totem,,Gottlieb,1979,https://o.pinside.com/c/82/b2/c82b233dfdc3733dfccbf79248680629b04fa1af.jpg,https://rules.silverballmania.com/rules/G5YDN-MJKYo,,,,,,,,,,,,
