game,rank,ad_url,ad_title
Metallica,1,https://pinside.com/pinball/market/classifieds/archive/207894,"Metallica (Pro) 405 total games, everything works"
Metallica,2,https://pinside.com/pinball/market/classifieds/archive/207484,Metallica (Premium)
Metallica,3,https://pinside.com/pinball/market/classifieds/archive/205004,Metallica Premium
Metallica,4,https://pinside.com/pinball/market/classifieds/archive/206533,"Metallica (Pro) Color DMD, Topper, Blades. Loaded"
Metallica,5,https://pinside.com/pinball/market/classifieds/archive/208868,For Trade: Metallica Remastered (Premium)
Metallica,6,https://pinside.com/pinball/market/classifieds/archive/207897,Metallica Remastered (LE)
Metallica,7,https://pinside.com/pinball/market/classifieds/archive/208855,Metallica Remastered (LE) with topper
Metallica,8,https://pinside.com/pinball/market/classifieds/archive/208833,Metallica Remastered (Premium)
Metallica,9,https://pinside.com/pinball/market/classifieds/archive/204938,Metallica Remastered (Premium)
Metallica,10,https://pinside.com/pinball/market/classifieds/archive/207789,Metallica Remastered (Premium)
Metallica,11,https://pinside.com/pinball/market/classifieds/archive/207722,"FS/T: Metallica Premium - LOW Plays, ColorDMD"
Metallica,12,https://pinside.com/pinball/market/classifieds/archive/204450,Metallica (Pro)
Metallica,13,https://pinside.com/pinball/market/classifieds/archive/207702,Metallica Remastered (Premium)
Metallica,14,https://pinside.com/pinball/market/classifieds/archive/207577,Metallica Remastered (Premium)- HUO
Metallica,15,https://pinside.com/pinball/market/classifieds/archive/208360,Metallica Remastered (Premium)
Metallica,16,https://pinside.com/pinball/market/classifieds/archive/207529,Metallica (Premium)
Metallica,17,https://pinside.com/pinball/market/classifieds/archive/193662,Metallica Remastered (LE)
Metallica,18,https://pinside.com/pinball/market/classifieds/archive/205800,Metallica Remastered (LE)
Metallica,19,https://pinside.com/pinball/market/classifieds/archive/201562,Metallica (Pro)
Metallica,20,https://pinside.com/pinball/market/classifieds/archive/207778,Metallica (Premium) HUO ColorDMD
Metallica,21,https://pinside.com/pinball/market/classifieds/archive/206436,"Metallica (Premium) with mods, excellent condition"
Metallica,22,https://pinside.com/pinball/market/classifieds/archive/207291,Metallica Remastered (LE)
Metallica,23,https://pinside.com/pinball/market/classifieds/archive/206195,Metallica Remastered (Premium)
Metallica,24,https://pinside.com/pinball/market/classifieds/archive/207581,FOR SALE: Metallica Remastered Premium Edition
Metallica,25,https://pinside.com/pinball/market/classifieds/archive/206393,Metallica Remastered (LE)
Metallica,26,https://pinside.com/pinball/market/classifieds/archive/207528,Metallica Remastered (Premium)
Metallica,27,https://pinside.com/pinball/market/classifieds/archive/201989,FS:Metallica Remaster prem - Lots of mods (FT Elton / GNR)
Metallica,28,https://pinside.com/pinball/market/classifieds/archive/206462,Metallica Remastered (Premium)
Metallica,29,https://pinside.com/pinball/market/classifieds/archive/204875,Metallica (Premium)
Metallica,30,https://pinside.com/pinball/market/classifieds/archive/206976,Metallica (Premium)
Metallica,31,https://pinside.com/pinball/market/classifieds/archive/205765,Metallica Remastered (Premium) NEW IN BOX FREE DELIVERY
Metallica,32,https://pinside.com/pinball/market/classifieds/archive/206446,Metallica Remastered (LE) Mint Free Local Delivery in ATL
Metallica,33,https://pinside.com/pinball/market/classifieds/archive/206498,Metallica (Premium) w/mods!
Metallica,34,https://pinside.com/pinball/market/classifieds/archive/189350,Metallica Remastered (LE)
Metallica,35,https://pinside.com/pinball/market/classifieds/archive/206454,NIB Metallica Remastered (Premium)
Metallica,36,https://pinside.com/pinball/market/classifieds/archive/194561,Metallica (Premium) - Reduced!
Metallica,37,https://pinside.com/pinball/market/classifieds/archive/203487,Metallica Remastered (Premium)
Metallica,38,https://pinside.com/pinball/market/classifieds/archive/205178,Metallica Remastered LE…
Metallica,39,https://pinside.com/pinball/market/classifieds/archive/206003,Metallica Remastered (Premium)
Metallica,40,https://pinside.com/pinball/market/classifieds/archive/198715,Metallica (Pro)
Metallica,41,https://pinside.com/pinball/market/classifieds/archive/204134,Metallica (Pro)
Metallica,42,https://pinside.com/pinball/market/classifieds/archive/205267,For sale metallica remastered LE with topper
Metallica,43,https://pinside.com/pinball/market/classifieds/archive/204972,Metallica Remastered (Premium)
Metallica,44,https://pinside.com/pinball/market/classifieds/archive/205108,Metallica Remastered (Premium)
Metallica,45,https://pinside.com/pinball/market/classifieds/archive/203895,Metallica (Premium)
Metallica,46,https://pinside.com/pinball/market/classifieds/archive/205609,Metallica (Premium)
Metallica,47,https://pinside.com/pinball/market/classifieds/archive/204627,Metallica Remastered (LE) Free Local Delivery
Metallica,48,https://pinside.com/pinball/market/classifieds/archive/202137,Metallica Remastered (Premium)
Metallica,49,https://pinside.com/pinball/market/classifieds/archive/204318,Metallica Master of Puppets (LE)
Metallica,50,https://pinside.com/pinball/market/classifieds/archive/205065,Metallica Master of Puppets (LE)
Metallica,51,https://pinside.com/pinball/market/classifieds/archive/184902,Metallica (Pro)
Metallica,52,https://pinside.com/pinball/market/classifieds/archive/203501,HUO Metallica Remastered (Premium)
Metallica,53,https://pinside.com/pinball/market/classifieds/archive/202672,For Trade: James Bond 007 (Premium) for Metallica Remastered
Metallica,54,https://pinside.com/pinball/market/classifieds/archive/203355,Metallica Remastered (Premium)
Metallica,55,https://pinside.com/pinball/market/classifieds/archive/197361,Metallica Master of Puppets (LE)
Metallica,56,https://pinside.com/pinball/market/classifieds/archive/166786,Metallica (Pro)
Metallica,57,https://pinside.com/pinball/market/classifieds/archive/205089,Metallica Master of Puppets (LE)
