game,score,checked_images,ad_url,ad_title,best_image_url,local_file
Metallica,108,4,https://pinside.com/pinball/market/classifieds/archive/200411,For sale: Metallica (Pro) w/ COLORDMD - for sale | Pinside Market,https://imgproxy.pinside.com/tjTqinW3W6AldQJbXx4fxUj_VNlrAzCuAsrpd361KYM/rs:fit:3000:3000/fn:pinside_market_200411_3_ea1824730d34/wm:0.8:soea:10:10:0.07/wmu:aHR0cHM6Ly9waW5zaWRlLmNvbS9pbWcvbG9nby9waW5zaWRlLXdhdGVybWFyay1mdWxsLW9wLnN2Zw/enc/phTFURsqye0sKxQPJjLhbp-c4DeK1Ro9KjVXY0z2z9JtYrl58Zdz22cuFSrT6ORPpKBOBJus32fZfYmurxOAD6wRqQW6X6IAZmdHcnZHZUSOiyOU5gslNCXh6J7uZJn9.jpeg,/Users/pillyliu/Documents/Codex/Pillyliu Pinball Website/shared/pinball/images/playfields/metallica.jpeg
Metallica,111.6,4,https://pinside.com/pinball/market/classifieds/archive/203355,For sale: Metallica Remastered (Premium) - for sale | Pinside Market,https://imgproxy.pinside.com/2eKWOSQGcp_E48Fv9KgkX8acByUNog4dpKBs8pEaUCM/rs:fit:3000:3000/fn:pinside_market_203355_bffb89a572ce/wm:0.8:soea:10:10:0.07/wmu:aHR0cHM6Ly9waW5zaWRlLmNvbS9pbWcvbG9nby9waW5zaWRlLXdhdGVybWFyay1mdWxsLW9wLnN2Zw/enc/9I1CG5qsxENkZ0dvxGYASph4WgWcP9oZC1Rneb3KeuS7eAlZe39-jzSRnPsvILIZMN3rAW32dcir4wWCClslWk4uh0WZ4ldwZmL3SbGIlUq5VFwUmUu6PjErh4-AvzKP.jpg,/Users/pillyliu/Documents/Codex/Pillyliu Pinball Website/shared/pinball/images/playfields/metallica.jpeg
Metallica,117.6,4,https://pinside.com/pinball/market/classifieds/archive/204770,"For sale: Metallica (Premium) with $3,500 in mods - for sale | Pinside Market",https://imgproxy.pinside.com/iMQUeiCnVBukYE2G_E9CdVcSpB_i_BE5sVfVkvfsGQM/rs:fit:3000:3000/fn:pinside_market_204770_3_2f55f0e93e1f/wm:0.8:soea:10:10:0.07/wmu:aHR0cHM6Ly9waW5zaWRlLmNvbS9pbWcvbG9nby9waW5zaWRlLXdhdGVybWFyay1mdWxsLW9wLnN2Zw/enc/q8EvHR4PlUHLdW9b0QYoSi0wGW83xAiqM06kryopUJcjxElxidtSOWiBY6w3Mexi1M_IKpKADEmgYpOS3vd4rQNDC326JhzcR7zNNXNkO2V2cABL3V7et095FiArK-Eu.jpeg,/Users/pillyliu/Documents/Codex/Pillyliu Pinball Website/shared/pinball/images/playfields/metallica.jpeg
Metallica,118,4,https://pinside.com/pinball/market/classifieds/archive/202066,For sale: Metallica Master of Puppets (LE) - for sale | Pinside Market,https://imgproxy.pinside.com/C9_mcCgvovGI17eQX08omGJsJajds_JTeutIezeQUbM/rs:fit:3000:3000/fn:pinside_market_202066_2_b5f421a512e2/wm:0.8:soea:10:10:0.07/wmu:aHR0cHM6Ly9waW5zaWRlLmNvbS9pbWcvbG9nby9waW5zaWRlLXdhdGVybWFyay1mdWxsLW9wLnN2Zw/enc/ZgpyWkWL10q68xyagR6NGPTEXxnyf3cd63ynjS4O-aDQIpjeDVNx6n5zGpuiMY1sw42B-c76RTAwUTtJNDc2OyqbWSsPuVWWyIwbBtwIWT0T0kXVytoKvnTZjN0mD9LU.jpeg,/Users/pillyliu/Documents/Codex/Pillyliu Pinball Website/shared/pinball/images/playfields/metallica.jpeg
Metallica,122.8,4,https://pinside.com/pinball/market/classifieds/archive/207722,"FS/T: Metallica Premium - LOW Plays, ColorDMD - for sale | Pinside Market",https://imgproxy.pinside.com/PepcoVczeR7QcHcZvG-gplq8mj6Jw6kupK_9Ni-EhKs/rs:fit:3000:3000/fn:pinside_market_207722_fa9b0fa60848/wm:0.8:soea:10:10:0.07/wmu:aHR0cHM6Ly9waW5zaWRlLmNvbS9pbWcvbG9nby9waW5zaWRlLXdhdGVybWFyay1mdWxsLW9wLnN2Zw/enc/mbsEOR0m-atzsP73sVsPVQRbZsMIRXquWUi6AzDJuH4-1tjnJBDKtUfJD1g69aH1yWtR1gSiacI-cmm191AHxbw4ZAeKlMp1dqjVjxzv8JgPlKyhx0gypYwSI0Rx6ugR.jpg,/Users/pillyliu/Documents/Codex/Pillyliu Pinball Website/shared/pinball/images/playfields/metallica.jpeg
The Simpsons Pinball Party,108.8,4,https://pinside.com/pinball/market/classifieds/archive/196753,For sale: The Simpsons Pinball Party COLOR DMD - for sale | Pinside Market,https://imgproxy.pinside.com/n8laWjz_4opF1_tsq9nrrqFLiFJK3AKz_Y62SaQjx1c/rs:fit:3000:3000/fn:pinside_market_196753_d8ee5388def8/wm:0.8:soea:10:10:0.07/wmu:aHR0cHM6Ly9waW5zaWRlLmNvbS9pbWcvbG9nby9waW5zaWRlLXdhdGVybWFyay1mdWxsLW9wLnN2Zw/enc/2onBTtAI2wK8htECU5t9aJnLpo81bKZUWW0VJ9yYMdqKjzreaFclQz43a9eGF46s9fhBSRHxcX9y8FyWmZH9g41w0Q_gY089iK2DHC8BLSZnKoLdHqSsvrQGoxtgPOkv.jpeg,/Users/pillyliu/Documents/Codex/Pillyliu Pinball Website/shared/pinball/images/playfields/the-simpsons-pinball-party.jpg
The Simpsons Pinball Party,112.8,4,https://pinside.com/pinball/market/classifieds/archive/192949,For sale: The Simpsons Pinball Party - for sale | Pinside Market,https://imgproxy.pinside.com/PSv_lYEJs2_E3L6HTPhGDnB9E8cAP6Acpdz69iAQyc8/rs:fit:3000:3000/fn:pinside_market_192949_2_d44c16d51a17/wm:0.8:soea:10:10:0.07/wmu:aHR0cHM6Ly9waW5zaWRlLmNvbS9pbWcvbG9nby9waW5zaWRlLXdhdGVybWFyay1mdWxsLW9wLnN2Zw/enc/0YcXVQX7It1ssP4OPaFspOTWBrqcfNIjVx3_okqByn9y3tiNhTBwjnWgtQP9n7EcE9j-TTS6PE5vgLko6jE9nk1M20plCGHqWcCtviffBnkrOXF9nNJjMs25LgozT2Vg.jpeg,/Users/pillyliu/Documents/Codex/Pillyliu Pinball Website/shared/pinball/images/playfields/the-simpsons-pinball-party.jpg
The Simpsons Pinball Party,116.8,4,https://pinside.com/pinball/market/classifieds/archive/200897,For sale: The Simpsons Pinball Party - for trade | Pinside Market,https://imgproxy.pinside.com/0p1EJdiBawaNhgJv4FvD1P8yTC_Dm0GBE1_mWLUEO0U/rs:fit:3000:3000/fn:pinside_market_200897_8e71beaaf634/wm:0.8:soea:10:10:0.07/wmu:aHR0cHM6Ly9waW5zaWRlLmNvbS9pbWcvbG9nby9waW5zaWRlLXdhdGVybWFyay1mdWxsLW9wLnN2Zw/enc/5NcN6lbuVa6Wk__3QkoB6lP4VUdVmCtz3yHaQW-DEP_bAXr8-mQCzztQc-T8UIpGHLBNB0nUexs8PuecieTAIyYMfb2RDmpcSqhBgfXjnNlAdzEaOB0Mpyle86yu0Wt8.jpeg,/Users/pillyliu/Documents/Codex/Pillyliu Pinball Website/shared/pinball/images/playfields/the-simpsons-pinball-party.jpg
The Simpsons Pinball Party,117.2,4,https://pinside.com/pinball/market/classifieds/archive/191212,For sale: The Simpsons Pinball Party - for sale | Pinside Market,https://imgproxy.pinside.com/wezX0nN-Y_ANMUSnUaGK1cdQrQzZ8FHfCXBUwtZ-XBo/rs:fit:3000:3000/fn:pinside_market_191212_2_d89e5d43e711/wm:0.8:soea:10:10:0.07/wmu:aHR0cHM6Ly9waW5zaWRlLmNvbS9pbWcvbG9nby9waW5zaWRlLXdhdGVybWFyay1mdWxsLW9wLnN2Zw/enc/BZtwuYJoLrbrPnkw0aytAZad_dKcyBM8wIc8erM1njYhUH38XdfcbjrAfEC2b4ZEx11MzuLAeYfgh7XtvJHMvtfBNrZQdqxYJ8uPVJKMQ_ODul54HarcIxjdEdkJBqxi.jpeg,/Users/pillyliu/Documents/Codex/Pillyliu Pinball Website/shared/pinball/images/playfields/the-simpsons-pinball-party.jpg
The Simpsons Pinball Party,128.4,4,https://pinside.com/pinball/market/classifieds/archive/190652,For sale: The Simpsons Pinball Party - for sale | Pinside Market,https://imgproxy.pinside.com/eybfDv8R5dQI5aRyUx9pIy71jxmpV3z6QEFFq88K5g0/rs:fit:3000:3000/fn:pinside_market_190652_1_7bb17b9a794d/wm:0.8:soea:10:10:0.07/wmu:aHR0cHM6Ly9waW5zaWRlLmNvbS9pbWcvbG9nby9waW5zaWRlLXdhdGVybWFyay1mdWxsLW9wLnN2Zw/enc/YmSmQF0Db54XEt02lfqqaLLK0zZ7rAl_7RI378IvtnPDwxJ58-UrsIKjgaGyRJhZcsDBJ6rDabs3BLkm7dQ42z8eHMhfJVDAhOjJW_O8rkV-A1G06l1M8eG-3xohogu0.jpeg,/Users/pillyliu/Documents/Codex/Pillyliu Pinball Website/shared/pinball/images/playfields/the-simpsons-pinball-party.jpg
The Getaway: High Speed II,111.6,4,https://pinside.com/pinball/market/classifieds/archive/187690,For sale: The Getaway: High Speed II - for sale | Pinside Market,https://imgproxy.pinside.com/r1FLYc0HIg8oBk016rHvM5yzghVb4ZdFAn2pnFzjgBM/rs:fit:3000:3000/fn:pinside_market_187690_3_eb4583c0fcf2/wm:0.8:soea:10:10:0.07/wmu:aHR0cHM6Ly9waW5zaWRlLmNvbS9pbWcvbG9nby9waW5zaWRlLXdhdGVybWFyay1mdWxsLW9wLnN2Zw/enc/SNFBF6F1GpwX8X6v1AVhSC7-Rhfq_bBt-CTmyFNhBmOCg0iZ4RWleFMgHUXBE9kfE8opont40c52WhfSMBgpj9qrGqR48_8gqCXrQJVvKyBYJU5Yta8F2jJi0k8PUmro.jpg,/Users/pillyliu/Documents/Codex/Pillyliu Pinball Website/shared/pinball/images/playfields/the-getaway-high-speed-ii.jpg
